Adj,Noun
drunken,beetle
disreputable,wolverine
dismal,bug
dim,skunk
deficient,devil
deceitful,anteater
damned,idiot
daft,pirate
contrary,pinhead
churlish,numbskull
catty,fatty
banal,airhead
asinine,arsehole
infantile,bimbo
lurid,bugger
morbid,chicken
repugnant,cow
unkempt,deadbeat
vapid,donkey
decrepit,dope
malevolent,dork
impertinent,dweeb
decrepit,flake
grotesque,floozy
puerile,freak
skanky ,fruitcake
indolent ,gasbag
abominable ,geek
abhorrent ,geezer
bigheaded ,goose
bilious ,hick
bitter ,honky
calculating ,jerk
cantankerous ,klutz
conceited ,kook
namby-pamby ,loudmouth
gutless ,louse
smutty ,meathead
vile ,nerd
lousy ,nut
grotty ,nutter
crude ,old bat
uncouth ,pig
disgusting ,poof
revolting ,psycho
wicked ,rat
despicable ,redneck
sinister,scum
ugly ,scumbag
ugliest ,sicko
clumsy ,smart-ass
ratty ,twerp
crazy ,twit
nasty ,wanker
robust ,weirdo
fat ,wimp
nutty ,zero
scrawny ,ape
odd ,monkey
silly ,caveman
stingy ,drunk
strange ,yokel
grumpy ,penguin
spotty ,mosquito
prickly ,dummy
horrible ,dumbo
Foul-Smelling ,hamster
Boring ,chickenhead
Stupid ,gangster
Evil ,poop
Horrible ,poophead
Creepy ,mule
Annoying,horse
lazy,North Korean
